order_id,order_date,product,category,region,customer_segment,quantity,unit_price,discount_pct,empty_col,
5037,2024-03-24,Notebook Set,Stationery,north,N/A,4,13.45,15,,y
5038,2024-02-17,Office Chair,Furniture,East,Wholesale,6,181.42,15,,z
5039,2024-11-15,Notebook Set,Stationery,North,N/A,8,unknown,10,,x
5040,2024-01-21,Mechanical Keyboard,Electronics,north,Retail,4,,5,,z
5041,,Standing Desk,Furniture,South,N/A,11,386.73,N/A,,y
5042,2024-05-17,Backpack,Accessories,NORTH,N/A,-3,59.95,0,,y
5043,2024-06-22,Mechanical Keyboard,Electronics,South,Retail,2,69.07,N/A,,z
5044,2024-05-14,Water Bottle,Accessories, North,Retail,9,14.5,0,,x
5045,2024-04-01,USB-C Hub,Electronics,South,N/A,4,34.23,10,,y
5046,2024-04-07,Notebook Set,Stationery,North,,N/A,13.78,N/A,,z
5047,2024-07-20,Backpack,Accessories,East,N/A,11,65.76,N/A,,x
5048,2024-01-28,Standing Desk,Furniture,NORTH,N/A,12,400.96,5,,y
5049,31-13-2024,Wireless Mouse,Electronics,East,Wholesale,5,unknown,15,,y
5050,2024-03-21,Water Bottle,Accessories,South,Retail,4,16.01,10,,z
5051,2024-06-07,Backpack,Accessories,Central,Online,6,unknown,5,,x
5052,2024-05-07,Notebook Set,Stationery,South,,,11.81,N/A,,z
5053,31-13-2024,Wireless Mouse,Electronics,East,,3,,0,,y
5054,2024-06-15,Standing Desk,Furniture,NORTH,,9,335.37,15,,x
5055,2024-09-15,Backpack,Accessories,Central,N/A,1,70.27,5,,x
5056,31-13-2024,Wireless Mouse,Electronics, North,Retail,11,26.15,5,,y
5057,2024-09-07,Notebook Set,Stationery,North,,1,11.93,10,,z
5058,31-13-2024,Wireless Mouse,Electronics,north,,9,22.94,15,,z
5059,2024-08-23,Backpack,Accessories, North,Wholesale,12,59.71,,,y
5060,2024-04-11,Water Bottle,Accessories,North,,5,unknown,0,,z
5061,31-13-2024,USB-C Hub,Electronics,,Wholesale,10,37.2,0,,y
5062,2024-05-26,Backpack,Accessories,West,Online,11,69.42,,,y
5063,2024-01-09,Backpack,Accessories,South,Retail,4,60.43,10,,z
5064,2024-04-17,Backpack,Accessories,South,N/A,8,unknown,0,,z
5065,2024-02-27,Mechanical Keyboard,Electronics,,,3,77.33,15,,x
5066,2024-12-14,Notebook Set,Stationery,NORTH,Retail,1,13.49,,,x
5067,31-13-2024,Water Bottle,Accessories,north,Online,6,14.03,10,,x
5068,2024-02-03,Water Bottle,Accessories,North,Online,12,,,,x
5069,2024-01-27,Water Bottle,Accessories,South,Retail,7,15.71,15,,x
5070,2024-07-10,Standing Desk,Furniture,Central,Online,7,328.03,,,x
5071,2024-01-26,Wireless Mouse,Electronics,Central,Wholesale,9,26.44,15,,z
5072,2024-10-08,Water Bottle,Accessories,West,Retail,5,16.32,5,,y
5073,2024-06-03,USB-C Hub,Electronics,South,N/A,12,34.51,,,y
5074,2024-09-11,Water Bottle,Accessories, North,,2,,N/A,,z
5075,2024-02-16,Office Chair,Furniture,NORTH,,7,176.98,5,,z
5076,2024-07-30,Notebook Set,Stationery, North,Retail,10,11.76,,,y
5077,2024-07-03,Water Bottle,Accessories,West,Online,1,14.29,5,,y
5078,2024-06-08,Office Chair,Furniture,East,N/A,7,,0,,z
5079,31-13-2024,USB-C Hub,Electronics,,N/A,8,unknown,,,x
5080,2024-12-15,Backpack,Accessories,NORTH,Wholesale,,62.54,0,,x
5081,2024-01-20,Backpack,Accessories,NORTH,Wholesale,1,,15,,x
5082,31-13-2024,Standing Desk,Furniture,north,Retail,7,369.82,N/A,,y
5083,2024-05-22,Office Chair,Furniture,Central,Online,1,172.06,10,,y
5084,31-13-2024,Office Chair,Furniture,South,Retail,7,172.56,,,x
5085,2024-12-22,Water Bottle,Accessories,south,Wholesale,7,,10,,y
5086,31-13-2024,Water Bottle,Accessories,South,,N/A,14.99,,,z
5087,,Office Chair,Furniture,South,Online,4,198.9,N/A,,y
5088,,Backpack,Accessories,North,,11,73.07,,,x
5089,2024-12-30,Wireless Mouse,Electronics,North,Wholesale,1,28.59,10,,x
5090,31-13-2024,Mechanical Keyboard,Electronics,Central,N/A,3,84.97,15,,y
5091,2024-06-28,Water Bottle,Accessories,North,Retail,2,17.19,,,z
5092,31-13-2024,Mechanical Keyboard,Electronics,East,Retail,5,81.73,,,x
5093,2024-05-06,Office Chair,Furniture,West,Retail,6,203.38,15,,y
5094,2024-02-02,Water Bottle,Accessories,north,Retail,N/A,unknown,N/A,,y
5095,2024-06-01,Notebook Set,Stationery,South,Online,1,11.8,0,,z
5096,2024-08-08,Mechanical Keyboard,Electronics,West,N/A,8,unknown,,,z
5097,2024-06-16,USB-C Hub,Electronics,South,Wholesale,12,33.1,10,,x
5098,2024-05-06,Backpack,Accessories, North,N/A,-3,71.21,,,x
5099,2024-05-15,Mechanical Keyboard,Electronics,East,Retail,3,76.53,N/A,,x
5100,,Mechanical Keyboard,Electronics,NORTH,Wholesale,8,75.39,,,x
5101,2024-05-17,Office Chair,Furniture,South,Online,2,200.11,10,,z
5102,2024-10-23,Standing Desk,Furniture, North,Wholesale,4,332.43,5,,y
5103,2024-02-21,Notebook Set,Stationery,Central,,4,unknown,15,,z
5104,31-13-2024,Backpack,Accessories,West,Online,4,60.16,10,,z
5105,2024-04-01,Office Chair,Furniture, North,Retail,10,,,,x
5106,2024-01-20,Standing Desk,Furniture,,,N/A,373.17,10,,y
5107,2024-07-28,Notebook Set,Stationery, North,Retail,10,11.41,15,,y
5108,31-13-2024,Notebook Set,Stationery,Central,N/A,8,11.74,0,,y
5109,2024-07-28,Water Bottle,Accessories,NORTH,N/A,11,14.08,10,,x
5110,31-13-2024,Standing Desk,Furniture,East,N/A,6,319.49,10,,y
5111,,Office Chair,Furniture,NORTH,N/A,7,180.22,0,,z
5112,2024-11-24,Water Bottle,Accessories,North,Retail,3,14.87,,,z
5113,2024-09-23,Mechanical Keyboard,Electronics,NORTH,Online,3,84.89,5,,x
5114,2024-01-23,Mechanical Keyboard,Electronics,South,Wholesale,4,,,,y
5115,2024-03-23,Notebook Set,Stationery,north,,7,unknown,15,,x
5116,2024-07-23,Office Chair,Furniture,NORTH,,8,189.66,N/A,,y
5117,2024-12-10,USB-C Hub,Electronics, North,Retail,12,32.58,0,,x
5118,2024-05-07,Notebook Set,Stationery,South,N/A,9,,,,x
5119,2024-08-26,Water Bottle,Accessories,North,,1,15.18,5,,y
5120,,Backpack,Accessories,West,N/A,3,71.17,5,,x
5121,2024-02-12,Notebook Set,Stationery,North,Retail,9,11.08,15,,x
5122,2024-03-10,Notebook Set,Stationery,Central,N/A,-3,12.33,0,,x
5123,2024-03-25,Mechanical Keyboard,Electronics,NORTH,N/A,4,81.23,15,,x
5124,2024-05-20,Office Chair,Furniture,NORTH,Online,5,unknown,,,z
5125,2024-06-12,USB-C Hub,Electronics,South,,10,39.94,10,,y
5126,2024-05-15,Wireless Mouse,Electronics,south,N/A,5,25.02,0,,z
5127,2024-02-23,Wireless Mouse,Electronics,Central,,9,24.75,10,,y
5128,2024-02-11,Water Bottle,Accessories,,Wholesale,6,14.89,,,y
5129,2024-10-26,Office Chair,Furniture,Central,Online,N/A,195.46,15,,x
5130,2024-07-05,Notebook Set,Stationery,,N/A,5,13.04,0,,z
5131,2024-06-04,USB-C Hub,Electronics,North,Retail,N/A,36.86,0,,z
5132,2024-08-31,Notebook Set,Stationery, North,Online,3,12.04,5,,y
5133,31-13-2024,USB-C Hub,Electronics,NORTH,N/A,12,unknown,15,,x
5134,2024-10-14,USB-C Hub,Electronics,North,Retail,5,38.34,10,,z
5135,31-13-2024,Backpack,Accessories,North,Retail,3,66.91,0,,x
5136,2024-04-10,Water Bottle,Accessories,North,,2,14.1,5,,y
5137,2024-06-07,Water Bottle,Accessories,East,,11,15.78,0,,y
5138,2024-08-11,Standing Desk,Furniture,Central,Retail,8,401.98,15,,z
5139,2024-11-25,Backpack,Accessories, North,Retail,3,,0,,x
5140,2024-12-13,Mechanical Keyboard,Electronics,North,Online,5,81.56,,,z
5141,2024-04-30,Standing Desk,Furniture,Central,Retail,2,396.25,15,,x
5142,2024-11-18,Office Chair,Furniture,south,,7,195.58,15,,z
5143,2024-04-29,Backpack,Accessories,North,N/A,N/A,67.12,N/A,,z
5144,31-13-2024,Standing Desk,Furniture,NORTH,Wholesale,10,349.26,0,,y
5145,31-13-2024,Mechanical Keyboard,Electronics,North,Retail,12,70.53,15,,x
5146,2024-09-30,Wireless Mouse,Electronics,,Online,-3,27.1,15,,y
5147,2024-02-27,Mechanical Keyboard,Electronics,north,Wholesale,7,81.67,0,,x
5148,31-13-2024,Wireless Mouse,Electronics,South,N/A,2,28.19,0,,y
5149,31-13-2024,Office Chair,Furniture,South,Online,6,177.14,10,,x
5150,2024-01-16,Notebook Set,Stationery,,Retail,5,12.61,,,z
5151,2024-03-28,Mechanical Keyboard,Electronics,north,,4,80.71,,,x
5152,2024-09-08,Wireless Mouse,Electronics,North,Online,1,24.3,15,,x
5153,2024-05-25,USB-C Hub,Electronics,South,,9,36.68,5,,x
5154,2024-11-17,Office Chair,Furniture,West,,2,166.95,10,,y
5155,2024-01-13,Notebook Set,Stationery,north,N/A,12,,10,,y
5156,2024-03-05,Office Chair,Furniture,East,Wholesale,3,181.26,N/A,,x
5157,2024-08-12,Wireless Mouse,Electronics,Central,Online,8,24.54,15,,z
5158,2024-06-03,Standing Desk,Furniture, North,,12,326.03,15,,x
5159,2024-06-16,USB-C Hub,Electronics,Central,Online,10,40.03,5,,x
5160,2024-03-16,Standing Desk,Furniture,north,Wholesale,,378.76,10,,y
5161,2024-08-25,Standing Desk,Furniture,South,Wholesale,2,332.17,0,,z
5162,31-13-2024,Wireless Mouse,Electronics,South,N/A,9,27.44,10,,z
5163,2024-08-03,Water Bottle,Accessories,,,7,unknown,5,,z
5164,2024-05-04,Office Chair,Furniture,South,Retail,6,190.87,,,z
5165,2024-04-03,USB-C Hub,Electronics,East,,10,35.21,15,,y
5166,2024-03-23,Notebook Set,Stationery,North,Online,2,11.97,15,,x
5167,2024-11-23,Office Chair,Furniture, North,N/A,9,166.55,10,,x
5168,2024-03-03,Notebook Set,Stationery,NORTH,N/A,11,13.64,15,,x
5169,2024-08-03,Notebook Set,Stationery,North,Retail,1,11.56,15,,y
5170,2024-07-19,Notebook Set,Stationery,Central,Wholesale,7,11.13,,,x
5171,2024-04-25,Office Chair,Furniture, North,N/A,-3,203.82,5,,x
5172,2024-11-28,Notebook Set,Stationery,West,Online,7,13.29,5,,z
5173,2024-09-03,Backpack,Accessories,South,N/A,7,72.32,0,,z
5174,2024-12-03,Standing Desk,Furniture,East,,8,372.26,10,,y
5175,2024-03-12,USB-C Hub,Electronics,,Online,-3,38.98,N/A,,z
5176,2024-02-21,Notebook Set,Stationery,north,Online,N/A,10.84,N/A,,z
5177,2024-03-26,USB-C Hub,Electronics, North,N/A,3,33.12,N/A,,y
5178,2024-09-28,Mechanical Keyboard,Electronics, North,N/A,5,84.26,0,,z
5179,2024-08-30,Backpack,Accessories,East,Wholesale,,60.4,,,x
5180,2024-01-04,Wireless Mouse,Electronics,West,Wholesale,4,28.16,5,,y
5181,2024-12-12,Notebook Set,Stationery,south,N/A,8,12.49,0,,y
5182,2024-06-18,USB-C Hub,Electronics,,Retail,N/A,37.07,0,,y
5183,2024-12-03,Backpack,Accessories,East,Wholesale,N/A,73.09,10,,y
5184,2024-05-08,Notebook Set,Stationery,South,N/A,4,12.38,N/A,,y
5185,2024-09-16,Wireless Mouse,Electronics,south,,7,24.33,10,,x
5186,2024-11-21,Office Chair,Furniture,South,Wholesale,6,197.64,0,,y
5187,2024-01-04,Wireless Mouse,Electronics,North,N/A,10,25.96,0,,y
5188,2024-11-11,Office Chair,Furniture,Central,,1,183.38,5,,y
5189,2024-08-03,Mechanical Keyboard,Electronics,north,Wholesale,3,80.01,0,,x
5190,2024-01-18,Wireless Mouse,Electronics,South,Online,9,27.64,10,,y
5191,2024-03-01,Wireless Mouse,Electronics,West,,1,26.51,,,x
5192,2024-10-07,Water Bottle,Accessories,NORTH,N/A,10,13.55,0,,x
5193,31-13-2024,Mechanical Keyboard,Electronics,East,Retail,1,71.48,15,,z
5194,31-13-2024,Mechanical Keyboard,Electronics,NORTH,N/A,2,83.6,15,,x
5195,2024-10-12,Office Chair,Furniture,NORTH,Retail,6,195.49,15,,y
5196,31-13-2024,Backpack,Accessories,North,Retail,1,73.65,15,,z
5197,2024-10-21,Mechanical Keyboard,Electronics,,Retail,8,73.36,15,,x
5198,2024-08-01,Backpack,Accessories,south,Wholesale,2,61.21,,,x
5199,2024-11-14,Water Bottle,Accessories,south,Online,10,15.2,15,,x
5180,2024-01-04,Wireless Mouse,Electronics,West,Wholesale,4,28.16,5,,x
5153,2024-05-25,USB-C Hub,Electronics,South,,9,36.68,5,,x
5085,2024-12-22,Water Bottle,Accessories,south,Wholesale,7,,10,,z
5155,2024-01-13,Notebook Set,Stationery,north,N/A,12,,10,,y
5185,2024-09-16,Wireless Mouse,Electronics,south,,7,24.33,10,,z
5003,2024-04-02,USB-C Hub,Electronics,South,,,32.76,0,,x
5038,2024-02-17,Office Chair,Furniture,East,Wholesale,6,181.42,15,,y
5153,2024-05-25,USB-C Hub,Electronics,South,,9,36.68,5,,x
5079,31-13-2024,USB-C Hub,Electronics,,N/A,8,unknown,,,y
5149,31-13-2024,Office Chair,Furniture,South,Online,6,177.14,10,,x
